,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10
Profile 1,9,8,10,5,8,7,9,8,7,7
Profile 2,6,10,10,8,10,7,10,10,10,10
Profile 3,10,10,10,10,8,10,8,10,10,9
Profile 4,4,8,4,6,5,5,5,6,6,2
Profile 5,5,8,7,6,4,5,5,3,3,2
Profile 6,2,2,1,4,1,3,3,1,2,1
Profile 7,6,2,2,5,1,7,1,8,8,6
Profile 8,2,1,4,1,7,4,1,2,1,3
Profile 9,6,3,4,3,5,7,5,6,7,1
Profile 10,3,5,3,8,4,8,5,7,3,4
Profile 11,4,8,6,2,3,8,8,3,4,6
Profile 12,3,5,6,4,7,4,7,7,7,2
Profile 13,5,3,5,4,5,5,6,9,6,6
Profile 14,4,4,1,3,1,5,2,3,3,7
Profile 15,5,1,1,3,2,1,2,3,1,3
Profile 16,1,1,2,1,2,3,2,2,1,1
Profile 17,7,7,5,5,4,4,2,1,3,3
Profile 18,5,6,7,1,5,6,6,7,4,2
