"intercept","0% CO2 reduction","30% CO2 reduction","50% CO2 reduction","14 days","21 days","30 days","5-year warranty","5-year warranty & free maintenance","5-year warranty & free maintenance and installation & upgradeability","1000 GBP","1200 GBP","1500 GBP","Market average","A bit higher than market average","Not very proficient and poor communication","Very proficient and have good communication skiils"
1.798,0,-1.5,-2,0,-1,-0.5,0,0.333,-0.834,0,0.5,-0.5,0,-1.076,0,-1.326
1.722,0,-1.666,-2,0,0.834,0,0,1.5,-1.667,0,1,-0.667,0,-4.124,0,-0.876
0.612,0,-2.167,-3.167,0,1,0.667,0,-0.5,-2.833,0,0.5,1.167,0,-3.624,0,-1.376
0.078000000000001,0,-0.667,-0.167,0,-2,-1.333,0,0.167,0,0,-0.334,-2,0,-2.824,0,-1.576
0.511,0,-1.667,-2.167,0,1,-0.334,0,-1.167,-2.167,0,-0.5,1.166,0,-2.724,0,-1.476
1.834,0,0,-1,0,-1.666,-2.333,0,-0.333,-2.166,0,1,0,0,-2,0,-1
1.034,0,-1.167,-1.833,0,0.667,-0.166,0,0.167,-1.166,0,-0.833,-0.166,0,-4.3,0,-0.3
-0.435,0,-2.167,-2.333,0,-1.667,-2.833,0,-1.667,-0.334,0,-0.333,0.333,0,-3.226,0,-0.976
-0.0120000000000005,0,-2.166,-3,0,-2,-2.667,0,0.666,0.666,0,1,0.333,0,-2.65,0,-2.15
-0.068,0,0.334,-2.833,0,-0.5,-1.5,0,0.5,-1,0,-0.834,-2.667,0,-2.276,0,-0.526
