"Model","score1","score2"
"Model 1",-0.147952679083929,-0.353914997500554
"Model 2",-0.653355854822773,0.0334400481909672
"Model 3",-0.0732882761018276,0.539541827581503
"Model 4",0.464145241104029,0.172250638757036
"Model 5",-0.013196310482972,0.636119852125601
"Model 6",0.705841877249881,-0.0764639506824218
"Model 7",-0.483148336867027,0.334540821682043
"Model 8",-0.537703551268001,0.452893307676728
"Model 9",-0.123736997132994,0.0369919000054814
"Model 10",-0.119699483448593,0.0739539574559403
"Model 11",0.528395218932712,0.156055789200244
"Model 12",0.481383901201183,0.155997954285763
"Model 13",0.505060118806813,0.183059037873131
"Model 14",0.916727920806009,0.189043173432859
"Model 15",0.92949997601671,0.167451031983489
"Model 16",0.844603793098195,0.0961566009252721
"Model 17",-0.906500773968704,0.0677565667644448
"Model 18",-1,-0.157183728797622
"Model 19",-0.995342828321592,0.0637689594286042
"Model 20",-0.447614787877206,0.484017022752685
"Model 21",0.513595216146443,0.231573493855482
"Model 22",0.438027549936962,0.206970627209189
"Model 23",0.679119064354608,-0.155451193673341
"Model 24",0.527950579994471,0.199515190574265
"Model 25",-0.84013657480166,0.0276741449197966
"Model 26",-0.623233379642608,-0.467242398306692
"Model 27",-0.79588155134433,-0.314771887815017
"Model 28",0.322742579599542,-0.79914556306278
"Model 29",-0.000232701731866857,-0.735002159478043
"Model 30",0.627434290586261,-1
"Model 31",-0.569011425800952,-0.0533463791434445
"Model 32",-0.154491815136779,-0.396249688220612
